# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 12:16:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmpjf6qp8cv/s58tzvvc.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023211655_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20,y_base_new.1,y_base_new.2,y_base_new.3,y_base_new.4,y_base_new.5,y_base_new.6,y_base_new.7,y_base_new.8,y_base_new.9,y_base_new.10,y_base_new.11,y_base_new.12,y_base_new.13,y_base_new.14,y_base_new.15,y_base_new.16,y_base_new.17,y_base_new.18,y_base_new.19,y_base_new.20,y_base_new.21,y_base_new.22,y_base_new.23,y_base_new.24,y_base_new.25,y_base_new.26,y_base_new.27,y_base_new.28,y_base_new.29,y_base_new.30,y_base_new.31,y_base_new.32,y_base_new.33,y_base_new.34,y_base_new.35,y_base_new.36,y_base_new.37,y_new.1,y_new.2,y_new.3,y_new.4,y_new.5,y_new.6,y_new.7,y_new.8,y_new.9,y_new.10,y_new.11,y_new.12,y_new.13,y_new.14,y_new.15,y_new.16,y_new.17,y_new.18,y_new.19,y_new.20,y_new.21,y_new.22,y_new.23,y_new.24,y_new.25,y_new.26,y_new.27,y_new.28,y_new.29,y_new.30,y_new.31,y_new.32,y_new.33,y_new.34,y_new.35,y_new.36,y_new.37
-48072.6,1,0.00195312,1,1,0,118304,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167,0.482629,0.52038,0.558131,0.595882,0.633633,0.671384,0.709135,0.746886,0.784637,0.822388,0.860139,0.89789,0.935641,0.973392,1.01114,1.04889,1.08664,1.1244,1.16215,1.1999,1.23765,1.2754,1.31315,1.3509,1.38865,1.4264,1.46416,1.50191,1.53966,1.57741,1.61516,1.65291,1.69066,1.72841,1.76616,1.80391,1.84167,19.9196,-9.80124,-0.384413,9.4442,-2.38194,3.18306,-3.17696,-2.88658,-1.53924,-0.342159,13.7199,17.7785,3.14433,12.9876,7.02055,-8.35146,-16.2099,-2.81565,11.3014,27.1257,20.0221,-13.0194,-4.1676,13.2946,5.3582,5.23191,14.1881,17.2545,4.01503,-14.0441,3.27684,-5.78793,-8.44854,12.7266,-6.19317,4.51159,-23.8339
-48072.6,0,14.3855,0,1,1,48073,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167,0.482629,0.52038,0.558131,0.595882,0.633633,0.671384,0.709135,0.746886,0.784637,0.822388,0.860139,0.89789,0.935641,0.973392,1.01114,1.04889,1.08664,1.1244,1.16215,1.1999,1.23765,1.2754,1.31315,1.3509,1.38865,1.4264,1.46416,1.50191,1.53966,1.57741,1.61516,1.65291,1.69066,1.72841,1.76616,1.80391,1.84167,7.39295,-27.0154,11.2023,-7.03035,6.98461,-29.0767,-2.91017,4.98994,-21.2166,0.888844,17.5714,15.5898,-10.5165,2.75882,2.07045,6.66968,20.9467,-8.47977,7.56951,5.13237,0.20943,-4.93551,31.0697,-6.06207,20.0104,-25.7305,-16.1303,-4.6268,6.90009,24.7266,2.11253,-5.6742,-11.7846,-5.57024,-11.2315,8.92586,-17.3617
-48072.6,0,2.43117,0,1,1,48073.4,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167,0.482629,0.52038,0.558131,0.595882,0.633633,0.671384,0.709135,0.746886,0.784637,0.822388,0.860139,0.89789,0.935641,0.973392,1.01114,1.04889,1.08664,1.1244,1.16215,1.1999,1.23765,1.2754,1.31315,1.3509,1.38865,1.4264,1.46416,1.50191,1.53966,1.57741,1.61516,1.65291,1.69066,1.72841,1.76616,1.80391,1.84167,19.733,15.7253,7.5034,3.35313,7.67167,-3.71689,-12.9218,13.2091,-31.8382,-4.28474,-1.22057,10.8445,-2.32272,-1.77434,-12.8245,-8.55716,5.2518,1.92669,2.39183,-2.34149,6.7095,7.89495,2.21487,1.47379,0.371743,0.234944,3.46274,31.1556,-9.36286,-2.49078,-7.27466,-0.060836,2.30734,-11.5968,-0.730222,17.1989,11.0604
-48072.6,0,0.239791,0,1,1,48073.6,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167,0.482629,0.52038,0.558131,0.595882,0.633633,0.671384,0.709135,0.746886,0.784637,0.822388,0.860139,0.89789,0.935641,0.973392,1.01114,1.04889,1.08664,1.1244,1.16215,1.1999,1.23765,1.2754,1.31315,1.3509,1.38865,1.4264,1.46416,1.50191,1.53966,1.57741,1.61516,1.65291,1.69066,1.72841,1.76616,1.80391,1.84167,-12.5868,-12.7329,-1.27574,2.15588,7.49106,19.9326,-18.5204,3.19585,-4.39645,-13.9514,-9.53193,-23.5204,14.6806,12.9884,3.48109,7.35811,-18.8652,-12.6796,-23.2231,-0.289831,23.7577,3.07065,13.3905,6.28123,5.01188,7.57364,10.0841,7.83045,-3.75838,-20.7942,13.5547,7.17008,3.95932,10.7372,-7.69288,-11.4466,6.95545
-48072.6,0,0.0186273,0,1,1,48073.3,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167,0.482629,0.52038,0.558131,0.595882,0.633633,0.671384,0.709135,0.746886,0.784637,0.822388,0.860139,0.89789,0.935641,0.973392,1.01114,1.04889,1.08664,1.1244,1.16215,1.1999,1.23765,1.2754,1.31315,1.3509,1.38865,1.4264,1.46416,1.50191,1.53966,1.57741,1.61516,1.65291,1.69066,1.72841,1.76616,1.80391,1.84167,11.7906,-3.69759,1.66989,-11.3537,24.5317,19.4968,14.1691,-8.1622,7.95353,28.9844,15.7815,15.7476,14.5592,-11.2662,13.0051,-8.89537,-18.4978,-11.8019,-1.89775,-10.4271,-4.00612,-4.78317,-10.8418,25.6476,1.79549,3.67456,7.00723,10.1069,-8.56934,-3.80825,-1.00667,19.0404,9.15387,0.0160912,-4.72657,6.07745,20.8292
-26285.4,1,0.00130482,2,3,0,46945.2,-0.384235,0.0575513,16.9716,0.996996,0.996996,1.1121,1.45741,1.51496,1.63006,1.80271,1.91782,1.91782,2.09047,2.09047,2.14802,2.37823,2.60843,2.83864,2.83864,2.89619,2.95374,3.01129,3.01129,0.939445,0.996996,1.05455,1.1121,1.16965,1.2272,1.28475,1.3423,1.39986,1.45741,1.51496,1.57251,1.63006,1.68761,1.74516,1.80271,1.86027,1.91782,1.97537,2.03292,2.09047,2.14802,2.20557,2.26313,2.32068,2.37823,2.43578,2.49333,2.55088,2.60843,2.66598,2.72354,2.78109,2.83864,2.89619,2.95374,3.01129,0.352576,-8.06796,-6.87597,23.7306,3.19645,-20.8275,-22.5735,22.2691,-2.88563,15.8867,19.1402,-30.3834,19.6099,3.92787,8.92875,-7.90997,5.23733,-1.9157,2.00155,21.3556,12.2972,8.86077,-23.1588,2.67138,-35.2499,-20.8154,23.7037,3.12459,-14.9375,-16.0907,17.3767,-1.54185,-5.19803,-17.7149,11.5554,41.3289,12.2895
-21836.1,1,0.00189104,1,1,0,25916.7,-0.381968,0.0645031,18.6185,1.16611,1.16611,1.29511,1.68213,1.74664,1.87564,2.06915,2.19816,2.19816,2.39167,2.39167,2.45617,2.71418,2.9722,3.23021,3.23021,3.29471,3.35921,3.42372,3.42372,1.1016,1.16611,1.23061,1.29511,1.35962,1.42412,1.48862,1.55313,1.61763,1.68213,1.74664,1.81114,1.87564,1.94015,2.00465,2.06915,2.13365,2.19816,2.26266,2.32716,2.39167,2.45617,2.52067,2.58518,2.64968,2.71418,2.77869,2.84319,2.90769,2.9722,3.0367,3.1012,3.16571,3.23021,3.29471,3.35921,3.42372,-7.11068,19.7657,-7.26821,-13.3831,-20.1524,-9.19521,-18.5043,36.1782,0.609407,5.97263,-7.75684,12.6695,-52.3809,6.78041,-19.0474,-0.164115,7.44942,-13.3686,-2.06076,20.441,18.6131,4.50419,36.5259,-5.80991,7.55131,1.04861,-15.682,2.72428,3.18037,16.7862,-4.42295,22.4965,11.1868,3.7796,-24.3649,10.3313,21.5044
-14625.8,1,0.00305706,1,1,0,20706.3,-0.38322,0.0778841,22.7512,1.486,1.486,1.64177,2.10907,2.18696,2.34272,2.57638,2.73215,2.73215,2.9658,2.9658,3.04368,3.35522,3.66675,3.97829,3.97829,4.05618,4.13406,4.21194,4.21194,1.40812,1.486,1.56388,1.64177,1.71965,1.79754,1.87542,1.9533,2.03119,2.10907,2.18696,2.26484,2.34272,2.42061,2.49849,2.57638,2.65426,2.73215,2.81003,2.88791,2.9658,3.04368,3.12157,3.19945,3.27733,3.35522,3.4331,3.51099,3.58887,3.66675,3.74464,3.82252,3.90041,3.97829,4.05618,4.13406,4.21194,-22.0086,2.44698,23.9747,6.76129,11.5742,-14.9311,34.1128,13.1115,2.60224,21.0572,-1.08545,33.249,5.72938,0.632293,44.2834,1.73049,-4.42073,10.9355,-6.66454,-65.5433,1.53351,-2.2298,12.2514,31.3766,40.0829,12.5961,-37.6336,1.07961,9.67437,4.44344,-44.5109,4.26569,18.8163,17.9493,24.0036,35.6826,19.0918
-6517.35,1,0.00530085,3,7,0,12670.2,-0.378549,0.104897,34.1417,2.13898,2.13898,2.34878,2.97816,3.08306,3.29285,3.60754,3.81734,3.81734,4.13203,4.13203,4.23692,4.65651,5.0761,5.49569,5.49569,5.60059,5.70548,5.81038,5.81038,2.03408,2.13898,2.24388,2.34878,2.45367,2.55857,2.66347,2.76836,2.87326,2.97816,3.08306,3.18795,3.29285,3.39775,3.50264,3.60754,3.71244,3.81734,3.92223,4.02713,4.13203,4.23692,4.34182,4.44672,4.55162,4.65651,4.76141,4.86631,4.9712,5.0761,5.181,5.28589,5.39079,5.49569,5.60059,5.70548,5.81038,22.2638,-10.6875,-35.5044,-44.2636,43.6409,-25.7018,24.6801,4.94847,-11.1871,40.7715,107.185,28.5397,64.7976,-42.6305,1.04269,-42.1297,22.0753,32.8481,-34.4031,-69.8084,-7.79828,-48.2023,26.0203,64.2185,33.6022,33.5562,10.3358,-12.7536,0.0402115,7.8335,-36.2977,1.24426,35.5921,-21.9938,10.9569,66.4537,61.5359
-2049.73,1,0.00961161,1,1,0,5287.82,-0.39038,0.137348,61.6542,2.90598,2.90598,3.18068,4.00477,4.14212,4.41681,4.82886,5.10356,5.10356,5.5156,5.5156,5.65295,6.20234,6.75174,7.30113,7.30113,7.43848,7.57583,7.71318,7.71318,2.76863,2.90598,3.04333,3.18068,3.31803,3.45538,3.59272,3.73007,3.86742,4.00477,4.14212,4.27947,4.41681,4.55416,4.69151,4.82886,4.96621,5.10356,5.2409,5.37825,5.5156,5.65295,5.7903,5.92765,6.06499,6.20234,6.33969,6.47704,6.61439,6.75174,6.88909,7.02643,7.16378,7.30113,7.43848,7.57583,7.71318,57.5698,-3.53971,-90.1883,5.89753,-169.649,2.28559,68.7492,31.0094,-28.7176,67.1214,31.2493,-105.082,-62.4014,3.69289,49.9936,10.6542,-111.644,-61.5253,98.8422,-54.4279,21.794,19.7369,-78.2213,-23.6002,-22.7125,98.3727,29.3513,63.2635,-10.5998,21.564,144.615,82.2294,-76.3495,108.154,139.124,-24.5,54.898
