# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 12:16:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmpjf6qp8cv/s58tzvvc.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023211655_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20,y_base_new.1,y_base_new.2,y_base_new.3,y_base_new.4,y_base_new.5,y_base_new.6,y_base_new.7,y_base_new.8,y_base_new.9,y_base_new.10,y_base_new.11,y_base_new.12,y_base_new.13,y_base_new.14,y_base_new.15,y_base_new.16,y_base_new.17,y_base_new.18,y_base_new.19,y_base_new.20,y_base_new.21,y_base_new.22,y_base_new.23,y_base_new.24,y_base_new.25,y_base_new.26,y_base_new.27,y_base_new.28,y_base_new.29,y_base_new.30,y_base_new.31,y_base_new.32,y_base_new.33,y_base_new.34,y_base_new.35,y_base_new.36,y_base_new.37,y_new.1,y_new.2,y_new.3,y_new.4,y_new.5,y_new.6,y_new.7,y_new.8,y_new.9,y_new.10,y_new.11,y_new.12,y_new.13,y_new.14,y_new.15,y_new.16,y_new.17,y_new.18,y_new.19,y_new.20,y_new.21,y_new.22,y_new.23,y_new.24,y_new.25,y_new.26,y_new.27,y_new.28,y_new.29,y_new.30,y_new.31,y_new.32,y_new.33,y_new.34,y_new.35,y_new.36,y_new.37
-38495.1,1,0.00195312,2,3,0,186456,-1.16243,-1.68776,15.2897,-41.6687,-41.6687,-45.0442,-55.1708,-56.8585,-60.234,-65.2973,-68.6728,-68.6728,-73.7361,-73.7361,-75.4239,-82.1749,-88.926,-95.677,-95.677,-97.3648,-99.0525,-100.74,-100.74,-39.9809,-41.6687,-43.3564,-45.0442,-46.732,-48.4197,-50.1075,-51.7952,-53.483,-55.1708,-56.8585,-58.5463,-60.234,-61.9218,-63.6096,-65.2973,-66.9851,-68.6728,-70.3606,-72.0484,-73.7361,-75.4239,-77.1116,-78.7994,-80.4872,-82.1749,-83.8627,-85.5504,-87.2382,-88.926,-90.6137,-92.3015,-93.9892,-95.677,-97.3648,-99.0525,-100.74,-59.1913,-44.6727,-40.6625,-53.6555,-52.6263,-30.2937,-44.5151,-64.0793,-50.949,-61.6931,-85.861,-62.263,-76.2663,-59.4884,-28.9096,-78.1557,-91.8215,-50.4494,-56.5881,-82.5671,-71.2955,-63.599,-102.187,-96.4646,-45.5928,-91.628,-78.9061,-86.1913,-84.6594,-100.029,-105.239,-94.5825,-114.106,-106.364,-90.5352,-97.6818,-102.922
-38495.1,0,14.3855,0,1,1,38495.7,-1.16243,-1.68776,15.2897,-41.6687,-41.6687,-45.0442,-55.1708,-56.8585,-60.234,-65.2973,-68.6728,-68.6728,-73.7361,-73.7361,-75.4239,-82.1749,-88.926,-95.677,-95.677,-97.3648,-99.0525,-100.74,-100.74,-39.9809,-41.6687,-43.3564,-45.0442,-46.732,-48.4197,-50.1075,-51.7952,-53.483,-55.1708,-56.8585,-58.5463,-60.234,-61.9218,-63.6096,-65.2973,-66.9851,-68.6728,-70.3606,-72.0484,-73.7361,-75.4239,-77.1116,-78.7994,-80.4872,-82.1749,-83.8627,-85.5504,-87.2382,-88.926,-90.6137,-92.3015,-93.9892,-95.677,-97.3648,-99.0525,-100.74,-49.7578,-52.3784,-25.7576,-12.4297,-21.8075,-50.2756,-54.6325,-62.2981,-56.4897,-53.0716,-71.5466,-66.1963,-52.2196,-54.2938,-56.7474,-68.9981,-71.4158,-61.5418,-77.6957,-78.8304,-51.8993,-83.8502,-84.2525,-77.0757,-76.5392,-69.481,-105.114,-72.1519,-87.6531,-91.4324,-109.655,-80.5179,-127.256,-89.1972,-88.0676,-140.706,-80.8389
-38495.1,0,2.43117,0,1,1,38498.3,-1.16243,-1.68776,15.2897,-41.6687,-41.6687,-45.0442,-55.1708,-56.8585,-60.234,-65.2973,-68.6728,-68.6728,-73.7361,-73.7361,-75.4239,-82.1749,-88.926,-95.677,-95.677,-97.3648,-99.0525,-100.74,-100.74,-39.9809,-41.6687,-43.3564,-45.0442,-46.732,-48.4197,-50.1075,-51.7952,-53.483,-55.1708,-56.8585,-58.5463,-60.234,-61.9218,-63.6096,-65.2973,-66.9851,-68.6728,-70.3606,-72.0484,-73.7361,-75.4239,-77.1116,-78.7994,-80.4872,-82.1749,-83.8627,-85.5504,-87.2382,-88.926,-90.6137,-92.3015,-93.9892,-95.677,-97.3648,-99.0525,-100.74,-59.7522,-53.6136,-42.537,-29.2973,-84.5983,-49.7554,-70.826,-34.4814,-52.0325,-36.7602,-43.9682,-64.0917,-55.9344,-53.8805,-57.6845,-72.2546,-67.5818,-82.6105,-67.395,-83.7725,-51.4763,-80.3624,-63.7358,-116.469,-79.5131,-100.898,-88.3783,-86.4082,-99.5665,-84.2464,-78.6887,-111.84,-88.2241,-120.186,-100.201,-101.866,-99.9187
-38495.1,0,0.239791,0,1,1,38496.2,-1.16243,-1.68776,15.2897,-41.6687,-41.6687,-45.0442,-55.1708,-56.8585,-60.234,-65.2973,-68.6728,-68.6728,-73.7361,-73.7361,-75.4239,-82.1749,-88.926,-95.677,-95.677,-97.3648,-99.0525,-100.74,-100.74,-39.9809,-41.6687,-43.3564,-45.0442,-46.732,-48.4197,-50.1075,-51.7952,-53.483,-55.1708,-56.8585,-58.5463,-60.234,-61.9218,-63.6096,-65.2973,-66.9851,-68.6728,-70.3606,-72.0484,-73.7361,-75.4239,-77.1116,-78.7994,-80.4872,-82.1749,-83.8627,-85.5504,-87.2382,-88.926,-90.6137,-92.3015,-93.9892,-95.677,-97.3648,-99.0525,-100.74,-50.0527,-71.7885,-35.4742,-54.9565,-33.8942,-27.1371,-57.944,-61.5908,-47.567,-47.9665,-53.8477,-51.0941,-65.5526,-77.7333,-77.5386,-57.2014,-51.8485,-83.12,-95.468,-63.9355,-72.6706,-64.115,-75.7569,-96.1158,-86.0738,-71.7409,-104.297,-88.4288,-111.068,-117.614,-71.8818,-66.6004,-93.5339,-100.509,-103.627,-96.7716,-102.294
-38495.1,0,0.0186273,0,1,1,38497.4,-1.16243,-1.68776,15.2897,-41.6687,-41.6687,-45.0442,-55.1708,-56.8585,-60.234,-65.2973,-68.6728,-68.6728,-73.7361,-73.7361,-75.4239,-82.1749,-88.926,-95.677,-95.677,-97.3648,-99.0525,-100.74,-100.74,-39.9809,-41.6687,-43.3564,-45.0442,-46.732,-48.4197,-50.1075,-51.7952,-53.483,-55.1708,-56.8585,-58.5463,-60.234,-61.9218,-63.6096,-65.2973,-66.9851,-68.6728,-70.3606,-72.0484,-73.7361,-75.4239,-77.1116,-78.7994,-80.4872,-82.1749,-83.8627,-85.5504,-87.2382,-88.926,-90.6137,-92.3015,-93.9892,-95.677,-97.3648,-99.0525,-100.74,-29.9689,-51.5423,-32.9759,-46.5487,-64.1844,-49.271,-44.1562,-68.4254,-60.8998,-59.5819,-73.3441,-61.3768,-77.1688,-72.5444,-66.7052,-56.4268,-88.6579,-63.4163,-50.813,-86.7369,-42.6714,-57.0884,-107.454,-82.2819,-93.6272,-86.3657,-105.949,-77.912,-54.5989,-76.6557,-113.652,-87.9281,-78.6477,-103.465,-112.577,-106.507,-127.422
-33783.1,1,0.00130482,1,1,0,38211.7,-1.16229,-1.68473,16.3207,-41.5957,-41.5957,-44.9652,-55.0735,-56.7583,-60.1277,-65.1819,-68.5514,-68.5514,-73.6055,-73.6055,-75.2903,-82.0292,-88.7681,-95.507,-95.507,-97.1917,-98.8764,-100.561,-100.561,-39.911,-41.5957,-43.2805,-44.9652,-46.6499,-48.3346,-50.0194,-51.7041,-53.3888,-55.0735,-56.7583,-58.443,-60.1277,-61.8125,-63.4972,-65.1819,-66.8666,-68.5514,-70.2361,-71.9208,-73.6055,-75.2903,-76.975,-78.6597,-80.3444,-82.0292,-83.7139,-85.3986,-87.0834,-88.7681,-90.4528,-92.1375,-93.8223,-95.507,-97.1917,-98.8764,-100.561,-35.6126,-51.6099,-46.2898,-36.6805,-12.6066,-44.8293,-42.3848,-36.7103,-54.016,-54.3903,-68.0279,-78.8863,-45.4299,-71.3577,-94.0396,-47.7224,-63.5272,-52.5417,-75.5344,-66.9541,-68.6833,-27.2562,-97.747,-92.0764,-97.7695,-83.0417,-107.072,-71.5044,-101.194,-86.975,-104.235,-111.785,-110.384,-105.769,-68.9693,-97.439,-99.5115
-14302.5,1,0.00189104,2,3,0,32535.5,-1.16582,-1.6659,25.0951,-41.1474,-41.1474,-44.4792,-54.4746,-56.1404,-59.4722,-64.4699,-67.8017,-67.8017,-72.7994,-72.7994,-74.4653,-81.1289,-87.7925,-94.4561,-94.4561,-96.122,-97.7879,-99.4538,-99.4538,-39.4815,-41.1474,-42.8133,-44.4792,-46.1451,-47.811,-49.4769,-51.1428,-52.8087,-54.4746,-56.1404,-57.8063,-59.4722,-61.1381,-62.804,-64.4699,-66.1358,-67.8017,-69.4676,-71.1335,-72.7994,-74.4653,-76.1312,-77.7971,-79.463,-81.1289,-82.7948,-84.4607,-86.1266,-87.7925,-89.4584,-91.1243,-92.7902,-94.4561,-96.122,-97.7879,-99.4538,-41.5699,-12.2543,-41.2324,-29.9978,-26.308,-57.1163,-79.2636,-76.3592,-61.5746,-33.3926,-46.764,-78.4152,-70.4101,-93.4648,-38.1935,-54.2709,-51.5818,-38.2541,-38.1144,-58.563,-66.5077,-78.7316,-119.479,-53.0951,-110.591,-72.0064,-48.086,-76.1049,-75.315,-81.2018,-100.298,-78.0152,-50.6487,-144.134,-99.8216,-110.849,-72.6781
-11016.8,1,0.00305706,1,1,0,13935,-1.16778,-1.6557,28.6013,-40.9047,-40.9047,-44.2161,-54.1503,-55.806,-59.1174,-64.0846,-67.396,-67.396,-72.3631,-72.3631,-74.0188,-80.6416,-87.2644,-93.8872,-93.8872,-95.5429,-97.1986,-98.8543,-98.8543,-39.249,-40.9047,-42.5604,-44.2161,-45.8718,-47.5275,-49.1832,-50.8389,-52.4946,-54.1503,-55.806,-57.4617,-59.1174,-60.7731,-62.4288,-64.0846,-65.7403,-67.396,-69.0517,-70.7074,-72.3631,-74.0188,-75.6745,-77.3302,-78.9859,-80.6416,-82.2973,-83.953,-85.6087,-87.2644,-88.9201,-90.5758,-92.2315,-93.8872,-95.5429,-97.1986,-98.8543,-24.331,-89.0133,-33.5705,-35.4272,-52.7038,31.731,-22.592,-50.5085,-30.9062,-18.6707,-56.8749,-6.46738,-42.3324,-70.3174,-109.55,-76.8555,-47.2921,-31.3948,-111.978,-35.04,-49.4881,-98.8041,-47.6355,-56.6193,-56.5244,-88.0252,-59.4849,-118.588,-79.0351,-73.7333,-93.2997,-71.3197,-110.181,-97.5086,-82.0231,-118.55,-154.331
-5904.88,1,0.00530085,3,7,0,9977.31,-1.1655,-1.64313,39.1623,-40.6006,-40.6006,-43.8869,-53.7456,-55.3888,-58.675,-63.6044,-66.8907,-66.8907,-71.8201,-71.8201,-73.4632,-80.0357,-86.6082,-93.1807,-93.1807,-94.8239,-96.467,-98.1101,-98.1101,-38.9575,-40.6006,-42.2437,-43.8869,-45.53,-47.1731,-48.8162,-50.4594,-52.1025,-53.7456,-55.3888,-57.0319,-58.675,-60.3182,-61.9613,-63.6044,-65.2475,-66.8907,-68.5338,-70.1769,-71.8201,-73.4632,-75.1063,-76.7494,-78.3926,-80.0357,-81.6788,-83.322,-84.9651,-86.6082,-88.2514,-89.8945,-91.5376,-93.1807,-94.8239,-96.467,-98.1101,-49.631,-37.0535,-29.9132,-32.9332,26.9185,-45.8909,-62.0593,-23.1083,-35.7042,-49.7158,-35.8578,-49.3196,-62.5508,-24.9721,-32.0618,-71.5319,-110.55,-69.9475,-110.748,-25.1347,-31.7102,-92.0768,-58.9079,5.98234,-131.973,-68.758,-144.496,-68.6432,-69.6673,-134.809,-38.4141,-51.8423,-63.6263,-69.2701,-94.1746,-101.831,-83.4479
-2088.32,1,0.00961161,3,7,0,4875.84,-1.15476,-1.60962,66.6443,-39.7856,-39.7856,-43.0048,-52.6625,-54.2721,-57.4914,-62.3202,-65.5394,-65.5394,-70.3683,-70.3683,-71.9779,-78.4164,-84.8548,-91.2933,-91.2933,-92.9029,-94.5126,-96.1222,-96.1222,-38.176,-39.7856,-41.3952,-43.0048,-44.6144,-46.224,-47.8337,-49.4433,-51.0529,-52.6625,-54.2721,-55.8817,-57.4914,-59.101,-60.7106,-62.3202,-63.9298,-65.5394,-67.1491,-68.7587,-70.3683,-71.9779,-73.5875,-75.1971,-76.8068,-78.4164,-80.026,-81.6356,-83.2452,-84.8548,-86.4645,-88.0741,-89.6837,-91.2933,-92.9029,-94.5126,-96.1222,18.9985,-6.01049,-46.5964,-94.5865,-0.569566,-39.6948,12.0455,-4.33046,11.6779,25.6046,-68.7745,-45.7613,-11.7745,-70.3427,-14.8554,75.6295,-195.021,-82.6577,-100.02,94.1933,-56.8628,-80.6824,-123.442,-110.449,-190.152,-133.259,-201.776,-80.0603,19.3216,-227.406,-49.82,-144.259,-115.632,46.7111,-110.552,-101.335,-214.923
