# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-48072.6,1,0.00195312,1,1,0,118304,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167
-48072.6,0,14.3855,0,1,1,48074.2,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167
-48072.6,0,2.43117,0,1,1,48073,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167
-48072.6,0,0.239791,0,1,1,48074.1,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167
-48072.6,0,0.0186273,0,1,1,48073.1,-0.385645,0.037751,12.5559,0.52038,0.52038,0.595882,0.822388,0.860139,0.935641,1.04889,1.1244,1.1244,1.23765,1.23765,1.2754,1.4264,1.57741,1.72841,1.72841,1.76616,1.80391,1.84167,1.84167
-40883.6,1,0.00130482,1,1,0,47543.6,-0.385917,0.0426131,13.6132,0.636797,0.636797,0.722023,0.977701,1.02031,1.10554,1.23338,1.31861,1.31861,1.44645,1.44645,1.48906,1.65951,1.82996,2.00042,2.00042,2.04303,2.08564,2.12825,2.12825
-30693.8,1,0.00189104,1,1,0,39650,-0.388522,0.050435,15.7087,0.821918,0.821918,0.922788,1.2254,1.27583,1.3767,1.52801,1.62888,1.62888,1.78018,1.78018,1.83062,2.03236,2.2341,2.43584,2.43584,2.48627,2.53671,2.58714,2.58714
-17372.3,1,0.00305706,1,1,0,28061.3,-0.389575,0.0620791,20.8848,1.10032,1.10032,1.22448,1.59696,1.65904,1.78319,1.96943,2.09359,2.09359,2.27983,2.27983,2.34191,2.59022,2.83854,3.08686,3.08686,3.14894,3.21101,3.27309,3.27309
-6622.59,1,0.00530085,1,1,0,14590.8,-0.386728,0.0820572,33.9064,1.58265,1.58265,1.74676,2.2391,2.32116,2.48528,2.73145,2.89556,2.89556,3.14173,3.14173,3.22379,3.55202,3.88025,4.20848,4.20848,4.29053,4.37259,4.45465,4.45465
-2068.32,1,0.00961161,2,3,0,5349.48,-0.397864,0.119157,61.4226,2.46191,2.46191,2.70022,3.41517,3.53432,3.77264,4.13011,4.36843,4.36843,4.7259,4.7259,4.84505,5.32168,5.79831,6.27494,6.27494,6.3941,6.51326,6.63241,6.63241
