# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-2.15391e+06,1,0.000244141,1,1,0,1.37588e+07,-1.79069,0.859349,1.79862,18.8337,18.8337,20.5524,25.7085,26.5678,28.2865,30.8646,32.5833,32.5833,35.1613,35.1613,36.0207,39.4581,42.8955,46.3329,46.3329,47.1922,48.0516,48.9109,48.9109
-2.15391e+06,0,14.3855,0,1,1,2.15391e+06,-1.79069,0.859349,1.79862,18.8337,18.8337,20.5524,25.7085,26.5678,28.2865,30.8646,32.5833,32.5833,35.1613,35.1613,36.0207,39.4581,42.8955,46.3329,46.3329,47.1922,48.0516,48.9109,48.9109
-2.15391e+06,0,2.43117,0,1,1,2.15391e+06,-1.79069,0.859349,1.79862,18.8337,18.8337,20.5524,25.7085,26.5678,28.2865,30.8646,32.5833,32.5833,35.1613,35.1613,36.0207,39.4581,42.8955,46.3329,46.3329,47.1922,48.0516,48.9109,48.9109
-2.15391e+06,0,0.239791,0,1,1,2.15391e+06,-1.79069,0.859349,1.79862,18.8337,18.8337,20.5524,25.7085,26.5678,28.2865,30.8646,32.5833,32.5833,35.1613,35.1613,36.0207,39.4581,42.8955,46.3329,46.3329,47.1922,48.0516,48.9109,48.9109
-2.15391e+06,0,0.0186273,0,1,1,2.15391e+06,-1.79069,0.859349,1.79862,18.8337,18.8337,20.5524,25.7085,26.5678,28.2865,30.8646,32.5833,32.5833,35.1613,35.1613,36.0207,39.4581,42.8955,46.3329,46.3329,47.1922,48.0516,48.9109,48.9109
-2.15391e+06,0,0.00130482,0,1,1,2.15391e+06,-1.79069,0.859349,1.79862,18.8337,18.8337,20.5524,25.7085,26.5678,28.2865,30.8646,32.5833,32.5833,35.1613,35.1613,36.0207,39.4581,42.8955,46.3329,46.3329,47.1922,48.0516,48.9109,48.9109
-2.08227e+06,1,8.85015e-05,1,1,0,2.15272e+06,-1.79065,0.860269,1.82921,18.8558,18.8558,20.5764,25.738,26.5982,28.3188,30.8996,32.6201,32.6201,35.2009,35.2009,36.0612,39.5023,42.9434,46.3844,46.3844,47.2447,48.105,48.9652,48.9652
-1.54668e+06,1,0.000135987,2,3,0,2.06586e+06,-1.79088,0.868357,2.12151,19.0497,19.0497,20.7864,25.9965,26.8649,28.6016,31.2067,32.9434,32.9434,35.5485,35.5485,36.4168,39.8902,43.3637,46.8371,46.8371,47.7054,48.5738,49.4422,49.4422
-848603,1,0.000228818,2,3,0,1.51073e+06,-1.79024,0.884608,2.86166,19.4403,19.4403,21.2096,26.5172,27.4018,29.171,31.8249,33.5941,33.5941,36.2479,36.2479,37.1325,40.6709,44.2094,47.7478,47.7478,48.6324,49.517,50.4016,50.4016
-313637,1,0.000408639,3,7,0,811570,-1.79128,0.910954,4.70066,20.0716,20.0716,21.8935,27.3593,28.2702,30.0921,32.825,34.6469,34.6469,37.3798,37.3798,38.2907,41.9345,45.5783,49.2222,49.2222,50.1331,51.0441,51.955,51.955
